工单id,标题,待确认结单-问题描述,待确认结单-问题原因,待确认结单-解决方案
13589575,EMR：emr-bjro5fs7服务状态异常，影响使用,EMR：emr-bjro5fs7服务状态异常，影响使用,数据库实例11：29号已经到期，已经销毁了导致,1.如会议沟通：当前您数据库的库表确实找回不了了，实在抱歉，这里销毁的时间太长了\n2.数据库没有自动续费的原因是因为咱们后安装hive时 ，没有勾这个自动续费，所以导致我们对应的资源是手动续费的，然后您后续可能没有注意到我们的到期推送\n3.这里我们也帮您和后台提了个需求，看这里能不能优化下，先默认勾选自动续费，如果不想自动续费，可以在进行取消
13583514,EMR，emr-ks7di4i6，创建集群卡住影响使用,EMR，emr-ks7di4i6，创建集群卡住影响使用,EMR集群创建卡住的原因是资源不足。,后台已进行资源调度，客户侧可以根据需要进行购买。
13582971,EMR，emr-rd7hedd9，总事务数一直在6百万左右徘徊，影响使用,EMR，emr-rd7hedd9，总事务数一直在6百万左右徘徊，影响使用,无异常,目前在正常下降中，已恢复
13580464,EMR，emr-rd7hedd9扩容task节点时报错，影响使用,EMR，emr-rd7hedd9扩容task节点时报错，影响使用,北京7区MA2机型购买配额不足导致,调整配额后，已扩容成功
13580387,emr：需确认emr-j9w79c27集群扩容Core节点疑似阻塞，影响节点扩容,emr：需确认emr-j9w79c27集群扩容Core节点疑似阻塞，影响节点扩容,yarn服务未启动,yarn服务启动后发起重试，流程结束
13578694,emr，emr-16mape64，需确认报超出节点可用资源的原因，影响使用,节点可用资源充足但是报超出节点可用资源,节点可使用内存不够，之前所有的只有8G，不到9G，所以申请不到,待可用内存充足重新申请
13577938,"emr,EMR-P8IJ8DG5,开启kerberos一直报错,需要确认原因","emr,EMR-P8IJ8DG5,开启kerberos一直报错,需要确认原因",外部系统我们无法排查哈，建议您确认下keytab文件是否正常,可以用下面的命令验证Kerberos认证\nkinit -kt /xxx/xxx.keytab 用户名/IP@EMR-XXX
13576469,EMR，集群ID， emr-h7a71ish创建卡住需协助处理，影响使用,EMR，集群ID， emr-h7a71ish创建卡住需协助处理，影响使用,创建订单的步骤，超时等待的时间是1个小时，刚好在驱动时，偶现网络抖动导致请求没有返回，超时后重新请求正常了。后续emr这边会加上该地域的流程告警，并优化这个超时逻辑,已正常创建
13576112,EMR，新购出现错误码100003[流水号:1gz s3KiQSe4y]，需核实,EMR，新购出现错误码100003[流水号:1gz s3KiQSe4y]，需核实,资源问题导致。,协调资源后，可以正常购买。
13573655,emr，emr-6ht09qim变更配置卡住，影响使用，需要核实原因,emr-6ht09qim变更配置卡住，影响使用,流程卡住了,变配流程已经完成
13572696,EMR，emr-dh9az8lj  10:22:26弹性扩容失败，影响实例扩容。,EMR，emr-dh9az8lj 10:22:26弹性扩容失败，影响实例扩容。,资源原因导致的任务失败,需要协助资源。（您表示不用处理了）
13564849,EMR，emr-h5sgynff，扩容持续失败，影响使用,EMR，emr-h5sgynff，扩容持续失败，影响使用,配置规格资源不足导致,当前已协调资源重点保障。\n1、【当前状态】不开启资源补足：也是会按照伸缩规格策略优先级重试到最后一个没有资源任务才会提示失败，目前重点保障了SA5对雷鸟的供应，理论上是可以保证成功率的；\n2、开启资源失败自动补足重试的处理逻辑，也是再次按照多个扩容策略按顺序执行循环，直至数量满足——这里目前没有最大超时时间设计，已提交需求单优化。
13563369,"emr,emr-i1b39r0y执行脚本任务卡住 ，需处理","emr,emr-i1b39r0y执行脚本任务卡住 ，需处理",一台节点执行卡住,后台跳过处理
13552640,emr，emr-0yqza8xe集群没法用kyuubi建表，影响使用,emr，emr-0yqza8xe集群没法用kyuubi建表，影响使用,看是client被执行了shutdown导致，需要进一步看看是哪里调用了shutdown把client执行了关闭。,把yarn上的app kill然后重连一下恢复了 
13550127,"emr,emr-i8awfuix自动扩容失败，影响使用",emr-i8awfuix自动扩容失败,账号下对应预留资源不足导致,临时预扣伸缩策略中的机器后解决，后续让架构师提长期预扣单
13549485,EMR，emr-lez7oft6 节点异常持续告警，需核实原因,这个集群 emr-lez7oft6 持续报警，查看节点状态正常，帮看下是什么问题？,告警是因为这个指标NumDeadDataNodes  看datanode也没问题,不影响业务建议忽略 
13548786,EMR，emr-ge0vrqkl集群扩容节点失败，需确认原因 ,EMR，emr-ge0vrqkl集群扩容节点失败，需确认原因 ,对应机型目前没有资源导致伸缩失败,已协调新加坡二区 SA5 16C64G机型，目前正常扩容，架构已提资源长期预留单
13547441,emr，emr-rd7hedd9，任务变慢需核查原因，影响使用,emr-rd7hedd9，任务变慢需核查原因，影响使用,场景适合走shuffle join,已优化完了哈，小表800mb，分发后比大表的单个container数据都大了
