工单id,客户名称,标题,TSS一级标签,TSS二级标签,TSS三级标签,TSS四级标签,待确认结单-问题描述,待确认结单-问题原因,待确认结单-解决方案,客户问题,原因,申请结单-处理方法,工单id
13756551,南京领行科技股份有限公司,emr，emr-2hqw5tzt该实例控制台资源管理内配置侧显示弹和定是为什么需核实,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,emr，emr-2hqw5tzt该实例控制台资源管理内配置侧显示弹和定是为什么需核实,,,1
13756138,重庆长安汽车股份有限公司,CBS，出现云硬盘(CBS)IOPS超限风险提示，需核实处理方式,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,CBS，出现云硬盘(CBS)IOPS超限风险提示，需核实处理方式,限流是写入速度到了上限不再增加写入速度；,业务不调整的情况下目前只能升级磁盘，建议业务评估扩容。,CBS，出现云硬盘(CBS)IOPS超限风险提示，需核实处理方式,,,1
13755974,深圳百果园实业（集团）股份有限公司,EMR，emr-9ldx178m，缩容报错PrestoSqlWorker will less than 1，影响使用需确认,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,EMR，emr-9ldx178m，缩容报错PrestoSqlWorker will less than 1，影响使用需确认,PrestoSalWorker的数量将少于1，即缩容后不满足最小节点要求；,现在有个新功能 可以移除角色，和新增角色，可以实现，辛苦参考下\nhttps://cloud.tencent.com/document/product/589/103106#077c6755-8923-49cb-bc9e-5c7d90ffa01d,EMR，emr-9ldx178m，缩容报错PrestoSqlWorker will less than 1，影响使用需确认,,,1
13755886,重庆长安汽车股份有限公司,EMR，emr-79er68a7节点退费0元，需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，emr-79er68a7节点退费0元，需确认原因,,,1
13755479,深圳法大大网络科技有限公司,emr，emr-jcymgiew，节点连接异常，需要确认下,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,控制台报错,emr，emr-jcymgiew，节点连接异常，需要确认下,机器内存不足导致机器挂了,建议Master 建议升到64G,emr，emr-jcymgiew，节点连接异常，需要确认下,,,1
13755376,广东行致互联科技有限公司,emr，emr-dfhstdrh的node机器内部挂载盘之间不均衡,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,emr，emr-dfhstdrh的node机器内部挂载盘之间不均衡,,,1
13755227,沃尔玛（中国）投资有限公司,EMR，安装amoro组件，在扩容core节点流程卡住，需要优化,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,EMR，安装amoro组件，在扩容core节点流程卡住，需要优化,,,1
13751545,广州视睿电子科技有限公司,EMR，emr-0b2gy40s升级kyuubi需协助开白,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,EMR，emr-0b2gy40s升级kyuubi需协助开白,,,1
13750788,北京搜狐新媒体信息技术有限公司,"emr，1-22 10：24 集群：emr-1k42d81t,对应节点10.23.251.13节点进程sparkhistoryserver处于不可用状态，影响使用，需确认",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,"emr，1-22 10：24 集群：emr-1k42d81t,对应节点10.23.251.13节点进程sparkhistoryserver处于不可用状态，影响使用，需确认",告警节点sparkhis堆内存较小，导致频繁gc,加大堆内存后继续观察目前已无告警,"emr，1-22 10：24 集群：emr-1k42d81t,对应节点10.23.251.13节点进程sparkhistoryserver处于不可用状态，影响使用，需确认",,,1
13750588,上海肯斯爪特科技有限公司,EMR，master节点内存升配、需注意哪些事项,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,EMR，master节点内存升配、需注意哪些事项,,,1
13750398,上海诺鲨贸易有限公司,"emr, EMR-u8viarri缩容时间较长，需要协助看下",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,"emr, EMR-u8viarri缩容时间较长，需要协助看下",,,1
13749090,深圳威科软件科技有限公司,emr，S8节点折扣配置,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,系统变更,,,,emr，S8节点折扣配置,,,1
13748284,蔚来汽车科技（安徽）有限公司,emr，emr-jn2hhggf缩容进程需要跟进下,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,emr，emr-jn2hhggf缩容进程需要跟进下,,,1
13748062,哈皮尼思（北京）文化科技有限公司,emr，emr-4mgwl04p下的一台DN节点状态显示异常，需核实原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,,,,emr，emr-4mgwl04p下的一台DN节点状态显示异常，需核实原因,,,1
13746753,芜湖保时网络科技有限公司,EMR，emr-arntx8ve，需要帮忙分析下目前任务提交的机器负载策略是否合理,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,EMR，emr-arntx8ve，需要帮忙分析下目前任务提交的机器负载策略是否合理,,,1
13744282,东风柳州汽车有限公司,emr，emr-rm1ps9ou状态不正常，一共6个core节点，只识别了3台，确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,emr，emr-rm1ps9ou状态不正常，一共6个core节点，只识别了3台，确认原因,nm节点数据盘使用率太高，判定为不健康,需要客户清理下hdfs数据或扩容core节点，再做均衡操作,emr，emr-rm1ps9ou状态不正常，一共6个core节点，只识别了3台，确认原因,,,1
13743463,上海火码信息科技有限公司,EMR，172.17.64.3和172.17.64.6节点，集群JMV OLD区异常，影响HIVE和ZOOKEEPER服务,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,EMR，172.17.64.3和172.17.64.6节点，集群JMV OLD区异常，影响HIVE和ZOOKEEPER服务,不涉及，jvm的old区告警对集群没有影响,一般可以忽略或者调大-xmx,EMR，172.17.64.3和172.17.64.6节点，集群JMV OLD区异常，影响HIVE和ZOOKEEPER服务,,,1
13741476,泰康保险集团股份有限公司,EMR，mapreduce.reduce.memory.mb和mapreduce.reduce.reduce.mb参数如何调整,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,引导操作、集群脚本,,,,EMR，mapreduce.reduce.memory.mb和mapreduce.reduce.reduce.mb参数如何调整,,,1
13741415,上海来至乐敬能源科技有限公司,数据库：cdb-r52q5ule需要确认申请时间及创建人,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,数据库：cdb-r52q5ule需要确认申请时间及创建人,,,1
13741295,昆仑天工科技有限公司,emr，emr集群使用扩缩容镜像，新开节点后是否会自动加入到emr集群上,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,自动伸缩,,,,emr，emr集群使用扩缩容镜像，新开节点后是否会自动加入到emr集群上,,,1
13740495,北京畅游时代数码技术有限公司,emr，emr-0ue9c1fo，数据均衡卡住在10.157.36.17节点，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,emr，emr-0ue9c1fo，数据均衡卡住在10.157.36.17节点，影响使用,由于数据量大，balancer就比较慢。,目前机器存储比较高了，建议新增1-2台服务器。,emr，emr-0ue9c1fo，数据均衡卡住在10.157.36.17节点，影响使用,,,1
13739554,深圳百果园实业（集团）股份有限公司,"emr,emr-9ldx178m,缩容任务如果无法在实例到期前完成，是直接下线还是会有缓冲期",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,"emr,emr-9ldx178m,缩容任务如果无法在实例到期前完成，是直接下线还是会有缓冲期",,,1
13738969,广州祺宸科技有限公司,EMR，emr-Core.21_emr-r0u8gssf 维修任务调整,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,EMR，emr-Core.21_emr-r0u8gssf 维修任务调整,,,1
13738014,北京畅游时代数码技术有限公司,"EMR,emr-cg2aa8ql，集群自检，amoro有个节点未响应",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,"EMR,emr-cg2aa8ql，集群自检，amoro有个节点未响应",,,1
13736430,嘉兴微梦科技有限公司,cvm，ins-ivtrf6f4，磁盘只读告警，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,ins-ivtrf6f4，磁盘只读告警，影响使用,磁盘故障导致,已在线换盘修复完成，恢复读写,cvm，ins-ivtrf6f4，磁盘只读告警，影响使用,,,1
13736323,长城汽车股份有限公司,EMR，emr-9lnvvpwq报错NameNode jvm内存使用率高，需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,,,,EMR，emr-9lnvvpwq报错NameNode jvm内存使用率高，需确认原因,,,1
13735647,深圳市雷鸟网络传媒有限公司,EMR，emr-dkqphaoh，自动伸缩策略执行失败，影响使用需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,EMR，emr-dkqphaoh，自动伸缩策略执行失败，影响使用需确认原因,"预扣的机型是32c,128g的，客户测试集群，扩的16c,32g，这个没有预扣，大盘里没有机器，扩容失败符合预期",保持32+128机型的预扣就行，测试集群可忽略,EMR，emr-dkqphaoh，自动伸缩策略执行失败，影响使用需确认原因,,,1
13735527,深圳百果园实业（集团）股份有限公司,EMR，emr-9ldx178m， 下线core节点太慢，需要核实确认,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,<div>EMR，emr-9ldx178m，&nbsp;下线core节点太慢，需要核实确认</div>,,,1
13732950,长城汽车股份有限公司,EMR，emr-dh2lj68y查询失败率指标持续告警，需确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,EMR，emr-dh2lj68y查询失败率指标持续告警，需确认原因,核查对应的数据表有查询失败的情况，查询失败率指标持续告警是符合预期的，请知悉。,建议查询starrocks_audit_db__.starrocks_audit_tbl__表，根据时间筛选errorcode不为空的数据即可,EMR，emr-dh2lj68y查询失败率指标持续告警，需确认原因,,,1
13732471,武汉天喻教育科技有限公司,CVM，ins-nxiqu58h是否有完成隐患处理,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,CVM，ins-nxiqu58h是否有完成隐患处理,经核实，实例磁盘异常导致,已维修完成，辛苦参考emr文档做操作即可:\nhttps://cloud.tencent.com/document/product/589/85569,CVM，ins-nxiqu58h是否有完成隐患处理,,,1
13731642,长城汽车股份有限公司,emr，emr-rp2lm5ai集群扩容后，新加节点同步较慢，确认原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,,,,emr，emr-rp2lm5ai集群扩容后，新加节点同步较慢，确认原因,,,1
13731342,深圳百果园实业（集团）股份有限公司,"emr,core节点如何将数据迁移到其他节点",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,"emr,core节点如何将数据迁移到其他节点",,,1
13731335,VANTASTONE TECHNOLOGY PTE. LTD,emr，需确认emr-j9w79c27集群缩容完成后的硬盘使用率,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,emr，需确认emr-j9w79c27集群缩容完成后的硬盘使用率,,,1
13731122,北京力拓飞远科技有限公司,EMR，需扩容80T用于存储确认应扩容哪个节点,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，需扩容80T用于存储确认应扩容哪个节点,,,1
13731114,长城汽车股份有限公司,emr，emr-rp2lm5ai集群扩容确认,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,emr，emr-rp2lm5ai集群扩容确认,,,1
13730385,深圳数阔信息技术有限公司,StarRocks，条件更新过滤数据的日志展示问题咨询,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,StarRocks，条件更新过滤数据的日志展示问题咨询,,,1
13730017,深圳百果园实业（集团）股份有限公司,EMR，emr-9ldx178m、emr-8lrxeolm降配操作需要开白,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，emr-9ldx178m、emr-8lrxeolm降配操作需要开白,,,1
13729858,深蓝汽车科技有限公司,emr，EMR节点如何配置置放群组？,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,emr，EMR节点如何配置置放群组？,,,1
13729778,杭州微拍堂文化创意有限公司,EMR，节点如何降配,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，节点如何降配,,,1
13728932,赛诺菲(中国)投资有限公司上海分公司,对于超时等原因失败的任务，能否通过修改jar包优化临时文件占用磁盘空间问题,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,,,,对于超时等原因失败的任务，能否通过修改jar包优化临时文件占用磁盘空间问题,,,1
13727080,北京紫辰乐游科技有限公司,"emr,emr-jdz6frkc,EMRmaster升配后导致集群不可用,影响使用需确认原因",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,"emr,emr-jdz6frkc,EMRmaster升配后导致集群不可用,影响使用需确认原因",如会议沟通，CheckPoint不能按照预期执行，这样会积压大量EditLog。积压的EditLog文件越多，重启NameNode需要加载EditLog时间越长。上次执行checkpoint还是12月20号，之后未执行，原因是有一个节点的磁盘满了导致的问题,可以修改dfs.namenode.name.dir.restore 参数改为true，不过要等重启完\n修改命令参考：\nsu hadoop\nhdfs dfsadmin -restoreFailedStorage true,"emr,emr-jdz6frkc,EMRmaster升配后导致集群不可用,影响使用需确认原因",,,1
13726369,北京亿欧网盟科技有限公司,MapReduce，需了解MapReduce进行服务升级是否影响正常服务使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,MapReduce，需了解MapReduce进行服务升级是否影响正常服务使用,,,1
13725900,深圳百果园实业（集团）股份有限公司,EMR，存量节点是否能降配置,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,,EMR，存量节点是否能降配置,,,1
13725536,智慧芽信息科技（苏州）有限公司, EMR，需确认创建失败的集群如何在列表中剔除,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,,,, EMR，需确认创建失败的集群如何在列表中剔除,,,1
13725430,泛华联兴保险销售股份公司,emr，emr-hd6j17ic，Linux后台与腾讯管理后台健康状况不同，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,emr，emr-hd6j17ic，Linux后台与腾讯管理后台健康状况不同，影响使用,最开始用hdfs dfsadmin -report 查看节点有异常，可能是当时控制台看的时候，在这期间的时间里节点就恢复了,检查没发现异常，可以再观察下，怀疑是在控制台查看的期间就恢复了，如果后面再出现，请提供下对应节点信息，我们进一步分析,emr，emr-hd6j17ic，Linux后台与腾讯管理后台健康状况不同，影响使用,,,1
13723200,VANTASTONE TECHNOLOGY PTE. LTD,EMR，emr-j9w79c27的10.0.11.40 DN节点缩容卡住了，影响节点缩容,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,EMR，emr-j9w79c27的10.0.11.40 DN节点缩容卡住了，影响节点缩容,不涉及，速度较慢,加速需要改配置，已经处理并发送配置文档给用户,EMR，emr-j9w79c27的10.0.11.40 DN节点缩容卡住了，影响节点缩容,,,1
13722971,金蝶蝶金云计算有限公司,EMR，emr-ne39659fRouter执行机变配需要SA5.4XLARGE32资源,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,节点规格,EMR，emr-ne39659fRouter执行机变配需要SA5.4XLARGE32资源\n,这里原因是在cvm/cbs控制台扩容了节点系统盘、emr侧同步不完全导致的,已后台处理 变配成功，这里年后会修复,EMR，emr-ne39659fRouter执行机变配需要SA5.4XLARGE32资源,,,1
13722266,华润雪花啤酒(中国)有限公司,CVM，100022128998 EMR扩容S5资源协调,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,CVM，100022128998 EMR扩容S5资源协调,,,1
13720889,上海微盟企业发展有限公司,EMR，emr-e58pb570，国际站 emr 销毁按钮报错，影响退订,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,EMR，emr-e58pb570，国际站 emr 销毁按钮报错，影响退订,国际站预付费CVM不支持退还,商务侧已沟通暂不退还,EMR，emr-e58pb570，国际站 emr 销毁按钮报错，影响退订,,,1
13719331,赛诺菲(中国)投资有限公司上海分公司,EMR，emr-lldi1fo1 数据目录昨天到今天徒增，查询原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,EMR，emr-lldi1fo1 数据目录昨天到今天徒增，查询原因,数据目录突增的问题原因是application_1733307617890_44034任务部分executor的shuffle数据量较大，导致nm磁盘上涨,已手动终止任务，也建议在业务侧注意下sql中数据量问题。\n另外，原本有配置app运行生命周期，但由于开关过yarn\"资源管理\"开关，导致配置被刷新，app运行生命周期的配置也被刷掉。我们已为您提交需求给产品同事评估进行优化，支持后我们在群内与您同步。,EMR，emr-lldi1fo1 数据目录昨天到今天徒增，查询原因,,,1
13718936,智道网联科技（北京）有限公司,emr，emr的ranger地址有无初始账号密码，需确认,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,账户权限,,,,emr，emr的ranger地址有无初始账号密码，需确认,,,1
13716464,广州视睿电子科技有限公司,emr，emr-0b2gy40s 缩容流程是否正常,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,,,,<div>emr-0b2gy40s&nbsp;</div>,,,1
13715765,北京豪腾嘉科科技有限公司,"emr, emr-g6gbl0br,1/15,16:39,EMR标准型SA3 / 16核64G 扩容失败，影响使用需协调资源",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,"emr, emr-g6gbl0br,1/15,16:39,EMR标准型SA3 / 16核64G 扩容失败，影响使用需协调资源","1,资源问题已经协调预扣.\n2.扩容流程异常是因为您组件关闭导致",资源已经协调成功，扩容流程异常，目前后台已经协助启动组件后已经恢复正常.,"emr,EMR标准型SA3 / 16核64G 系统盘:1 x 100GB高效云盘 数据盘:3 x 3000GB高效云盘需要协调",,,1
13714982,成都指掌天下信息技术有限公司,emr，emr-00x6ddmf需确认3个fe节点是否在同一母机,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,节点规格,,,,emr，emr-00x6ddmf需确认3个fe节点是否在同一母机,,,1
13714952,上海微盟企业发展有限公司,emr，emr-e58pb570创建时间长，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,集群创建、销毁、扩缩容,emr，emr-e58pb570创建时间长，影响使用,卡住原因是用户使用api（https://cloud.tencent.com/document/api/589/83953）创建集群时，EnableSupportHAFlag传的true，但是节点数量却是非ha的配置（1master3core），导致卡住了，后续会对该参数加上校验,已修复,emr，emr-e58pb570创建时间长,,,1
13714946,北京云中融信网络科技有限公司,emr，集群id： emr-0e330ekl，需协助关闭Kerberos认证 ,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,配置管理,,,,emr，集群id： emr-0e330ekl，需协助关闭Kerberos认证 ,,,1
13714445,上海艾拉比智能科技有限公司,EMR，需了解EMR-l8n9b7js集群的HMaster不可用的原因,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,控制台报错,,,,EMR，需了解EMR-l8n9b7js集群的HMaster不可用的原因,,,1
13713137,深圳市房极客网络科技有限公司,EMR，需EMR集群放开单可用区限制，可以使用其他可用区资源,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,节点规格,,,,EMR，需EMR集群放开单可用区限制，可以使用其他可用区资源,,,1
13712106,南京领行科技股份有限公司,emr，emr-5w8j37h3触发IO设备使用率_all > 95.000%告警，影响使用,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,监控告警,emr，emr-5w8j37h3触发IO设备使用率_all > 95.000%告警，影响使用,部署atop看都是java进程占用的,系统盘可以扩容下容量提升性能，\n数据盘可以更换下磁盘类型，提升性能。,emr，emr-5w8j37h3触发IO设备使用率_all > 95.000%告警,,,1
13711677,一汽—大众汽车有限公司,emr，资源预扣咨询,云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,自动伸缩,,,,emr,,,1
13701275,完美世界（北京）网络技术有限公司,"emr，emr-pjujlejk，1/13 16：00,影响移除hdfs角色长时间无响应，需确认原因",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,流程相关,"emr，emr-pjujlejk，1/13 16：00,影响移除hdfs角色长时间无响应，需确认原因",流程卡住,人工协助处理,"emr，emr-pjujlejk，1/13 16：00,影响移除hdfs角色长时间无响应，需确认原因",,,1
13700551,广州视睿电子科技有限公司,"emr,emr-0b2gy40s是否可以剔除节点做压测",云产品二部/大数据基础产品中心,弹性 MapReduce,控制台及流程,自动伸缩,,,,"<div>emr,emr-0b2gy40s是否可以剔除节点做压测</div><div>emr的测试集群利用率有点低，现在想回收几台机器，有没有办法先从集群里面暂时踢掉几台机器，跑任务看一下负载（类似k8s的cordon）</div>",,,1
